,token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
299,919,EIHOTEL-EQ,EIHOTEL,,-1.000000,1,,NSE,5.000000
300,1922,KOTAKBANK-EQ,KOTAKBANK,,-1.000000,1,,NSE,5.000000
301,7852,INOXWIND-EQ,INOXWIND,,-1.000000,1,,NSE,5.000000
302,25897,MINDACORP-EQ,MINDACORP,,-1.000000,1,,NSE,5.000000
303,9039,UFO-EQ,UFO,,-1.000000,1,,NSE,5.000000
304,20196,BEDMUTHA-EQ,BEDMUTHA,,-1.000000,1,,NSE,5.000000
305,13517,EMAMILTD-EQ,EMAMILTD,,-1.000000,1,,NSE,5.000000
306,8477,XELPMOC-EQ,XELPMOC,,-1.000000,1,,NSE,5.000000
307,5049,CLEAN-EQ,CLEAN,,-1.000000,1,,NSE,5.000000
308,21614,ABCAPITAL-EQ,ABCAPITAL,,-1.000000,1,,NSE,5.000000
309,16959,ALKALI-EQ,ALKALI,,-1.000000,1,,NSE,5.000000
310,6643,SJS-EQ,SJS,,-1.000000,1,,NSE,5.000000
311,3001,ICICI500-EQ,ICICI500,,-1.000000,1,,NSE,1.000000
312,15409,NESCO-EQ,NESCO,,-1.000000,1,,NSE,5.000000
313,13821,RUCHIRA-EQ,RUCHIRA,,-1.000000,1,,NSE,5.000000
314,14334,HSCL-EQ,HSCL,,-1.000000,1,,NSE,5.000000
315,17945,SUVENPHAR-EQ,SUVENPHAR,,-1.000000,1,,NSE,5.000000
316,13735,GLOBALVECT-EQ,GLOBALVECT,,-1.000000,1,,NSE,5.000000
317,11979,HTMEDIA-EQ,HTMEDIA,,-1.000000,1,,NSE,5.000000
318,11287,UPL-EQ,UPL,,-1.000000,1,,NSE,5.000000
319,6462,TECH-EQ,TECH,,-1.000000,1,,NSE,1.000000
320,619,CENTENKA-EQ,CENTENKA,,-1.000000,1,,NSE,5.000000
321,3912,KHAITANLTD-EQ,KHAITANLTD,,-1.000000,1,,NSE,5.000000
322,2909,RICOAUTO-EQ,RICOAUTO,,-1.000000,1,,NSE,5.000000
323,11543,COFORGE-EQ,COFORGE,,-1.000000,1,,NSE,5.000000
324,13844,MMFL-EQ,MMFL,,-1.000000,1,,NSE,5.000000
325,2043,RAMCOCEM-EQ,RAMCOCEM,,-1.000000,1,,NSE,5.000000
